run_tag,scenario,memory_budget,acc,f1,bwt_acc,bwt_f1,forgetting_acc,forgetting_f1,intrans_acc,intrans_f1
er_balanced_ci_m1,CI,1,0.9949,0.9352,-0.002,-0.0176,0.002,0.0176,0.0048,0.0627
er_balanced_ci_m5,CI,5,0.9987,0.9283,-0.0005,-0.0063,0.0005,0.0063,0.001,0.0696
er_balanced_ci_m10,CI,10,0.9994,0.9953,-0.0003,-0.0059,0.0003,0.0059,0.0003,0.0026
er_strat_ci_m1,CI,1,0.9967,0.9468,-0.0014,-0.0064,0.0014,0.0064,0.003,0.0511
er_strat_ci_m5,CI,5,0.9989,0.9893,-0.0006,-0.0074,0.0006,0.0074,0.0008,0.0086
er_strat_ci_m10,CI,10,0.9994,0.9953,-0.0003,-0.0059,0.0003,0.0059,0.0003,0.0026
er_balanced_cii_m1,CII,1,0.9984,0.9879,-0.0011,-0.0024,0.0011,0.0024,-0.0029,-0.0084
er_balanced_cii_m5,CII,5,0.9986,0.9936,-0.0007,-0.0036,0.0007,0.0036,-0.0031,-0.0141
er_balanced_cii_m10,CII,10,0.9989,0.9962,-0.0003,-0.0006,0.0003,0.0006,-0.0034,-0.0167
er_strat_cii_m1,CII,1,0.9974,0.9847,-0.0022,-0.0115,0.0022,0.0115,-0.0019,-0.0052
er_strat_cii_m5,CII,5,0.9985,0.9939,-0.0016,-0.0077,0.0016,0.0077,-0.003,-0.0144
er_strat_cii_m10,CII,10,0.9987,0.9945,-0.0005,-0.0019,0.0005,0.0019,-0.0031,-0.015
